,linear,poly,knn,nn
./group_1/CCPP\ccpp_train_20.csv,4.644559227220214,4.644559227220214,12.631033942840192,6.392761433141501
./group_1/CCPP\ccpp_train_40.csv,4.639951330696785,4.639951330696785,10.107736903303662,5.798687427112068
./group_1/CCPP\ccpp_train_60.csv,4.6382562016577245,4.6382562016577245,9.061729330520198,6.331928353594024
./group_1/CCPP\ccpp_train_80.csv,4.6382562016577245,4.6382562016577245,9.061729330520198,6.331928353594024
./group_1/CCPP\ccpp_train_full.csv,4.633801193726447,4.633801193726447,8.413786945272959,5.557562019037224
