,linear,poly,knn,nn
./group_1/CCPP\ccpp_train_20.csv,0.010209385392908096,0.010209385392908096,0.027764764560993468,0.014052176321352047
./group_1/CCPP\ccpp_train_40.csv,0.010199256597223323,0.010199256597223323,0.02221820768075518,0.012746319256613249
./group_1/CCPP\ccpp_train_60.csv,0.010195530468477017,0.010195530468477017,0.019918937952023954,0.013918456774813003
./group_1/CCPP\ccpp_train_80.csv,0.010195530468477017,0.010195530468477017,0.019918937952023954,0.013918456774813003
./group_1/CCPP\ccpp_train_full.csv,0.01018573774312381,0.01018573774312381,0.018494670718091327,0.012216292164993692
