,linear,poly,knn,nn
./group_1/servo\servo_train_20_num.csv,1.355394262054033,1.355394262054033,1.9194461132720884,1.7519807782269292
./group_1/servo\servo_train_40_num.csv,1.415561276862669,1.415561276862669,2.0206753551597676,1.6618214405263578
./group_1/servo\servo_train_60_num.csv,1.3653892627641402,1.3653892627641402,2.0206753551597676,1.7048000340855631
./group_1/servo\servo_train_80_num.csv,1.3653892627641402,1.3653892627641402,2.0206753551597676,1.7048000340855631
./group_1/servo\servo_train_full_num.csv,1.413182201029814,1.413182201029814,2.0206753551597676,1.6786055727954299
