,noise_level,function,p,integer,"(lb,ub)",n_train,n_valid,n_test,poly_loss,poly_loss_grid,poly_loss_woe,krr_loss,krr_loss_grid,krr_loss_woe,knn_loss,knn_loss_grid,knn_loss_woe,nn_loss,nn_loss_grid,nn_loss_woe,xg_loss,xg_loss_grid,xg_loss_woe,rf_loss,rf_loss_grid,rf_loss_woe,gp_loss,gp_loss_grid,gp_loss_woe,num_valids,loss,loss_woo,num_o,num_valid_grid,loss_grid,num_valid_grid_woe,loss_grid_woe
0,0.1,l1norm,2,False,"(-10, 10)",200,50,100,0.25312211355048364,0.3477736877734216,0.25252928599025953,0.04527847812224129,0.2938652394161893,0.06318067629273708,0.10360177235167141,0.19141495849048987,0.08545406962360497,0.040958079278563035,0.033775362047685505,0.03549268613277612,0.1377234059974835,0.16501569556012338,0.08467165008118425,0.23858882020915556,0.31252814273182583,0.24599979855761137,0.04372109266785415,0.11013495879667794,0.043533111373144466,10,0.20303711533533167,0.20303711533533167,0,3600,"(0.41265456954536, 28)",2500,"(0.12997831641737886, 0)"
1,0.1,cosine,2,False,"(-10, 10)",200,50,100,1.0702525732900239,1.0237284355603036,1.0081812624121624,0.44868646093245645,0.5942722837305118,0.44999241073330914,0.30817523599052876,0.7700702265695505,0.48368594864386955,0.66970450504404,0.8926508752061181,0.7355429124620865,0.15205937596149643,0.5577929089516307,0.20640339215196532,0.6911944916582053,0.9110302319264981,0.7802439891169647,0.06071775455108051,0.4154299354116353,0.08548934947603436,10,0.35975047750147127,0.35975047750147127,0,3600,"(0.7969639664646523, 2)",2500,"(0.6099598881057093, 2)"
2,0.1,exponential,2,False,"(-10, 10)",200,50,100,0.036194973094964625,0.08519609941464347,0.045509516100538765,0.06669203013425071,0.2779024417284978,0.15849270474299393,0.05668168525303557,0.2880847918339472,0.15082430271371886,0.04541619535101395,0.11599009728574834,0.05586554998287956,0.09724801592408648,0.20116789915050792,0.10653921611481712,0.10789211651596245,0.21500991690348045,0.11539826071854949,0.030469401655106837,0.09236029801284955,0.04830007855050359,10,0.21773830197402816,0.21773830197402816,0,3600,"(0.39608679492416027, 1)",2500,"(0.2055353714877722, 14)"
3,0.1,l1norm,2,False,"(-10, 10)",200,50,100,0.11323556486133247,0.3456834350116474,0.2552689951380369,0.04163731501259578,0.33782177725356455,0.0831086724633188,0.0804707213599768,0.21802671359324824,0.11001851238192616,0.038861690422286654,0.051157969796130555,0.05768986734972072,0.061436100747246265,0.18457328051527117,0.10015827858217088,0.13651626699636812,0.31268509326001576,0.24022606583832634,0.03388981907805793,0.10183350783974507,0.04990938459508343,10,0.13318330929293293,0.13318330929293293,0,3600,"(0.3382785581174973, 4)",2500,"(0.13787173254985785, 0)"
4,0.1,piecewise,2,False,"(-10, 10)",200,50,100,0.36257475835627345,0.5251518897163344,0.42154177636756807,0.31778174525115993,0.48814058001169847,0.33475041964300534,0.22518033248178476,0.332279712146599,0.30912354977551515,0.20705319604184494,0.20937673509096,0.2958196115033927,0.11313177946402801,0.26029005628025054,0.16374865524623208,0.24630793681906807,0.37593102624591634,0.39050959675874747,0.2669082632288189,0.4894687345855817,0.277454847371163,10,0.18446272273563655,0.18446272273563655,0,3600,"(0.5639961418812753, 1)",2500,"(0.28997749410221, 0)"
5,0.1,linear,2,False,"(-10, 10)",200,50,100,0.018599998308620625,0.013540970786255898,0.013000702633222087,0.08644328637089485,0.14531798931989995,0.07008093882989842,0.08762217935127846,0.13354572982681676,0.0843231782000089,0.030059405798174933,0.025309301527955325,0.025973629924132335,0.08091635416209285,0.12307322446824813,0.0920529103853186,0.1041404423987076,0.1540494019554972,0.10262648894131754,0.016259904737728495,0.0104494978872921,0.010764501463177952,10,0.09442568577578069,0.09442568577578069,0,3600,"(0.2314768585695612, 1)",2500,"(0.14434380404093144, 2)"
6,0.1,quadratic,2,False,"(-10, 10)",200,50,100,0.004824799048757322,0.006522430903593343,0.00823462637761086,0.05830259619952538,0.32060614771089196,0.0851609149364693,0.07019881047196935,0.3401506647646686,0.13485915525129294,0.05709487941838409,0.10879928136945151,0.05491526663092809,0.07934418550159793,0.25323451399688396,0.10414491351994472,0.09769031706899192,0.3492290539968112,0.2195286171641757,0.00511666931499094,0.008476677235573358,0.009122900978127242,10,0.15949412397049711,0.15949412397049711,0,3600,"(0.6287144369437223, 0)",2500,"(0.16237058443772887, 2)"
7,0.1,cosine,2,False,"(-10, 10)",200,50,100,1.0592171963847576,1.0352681230894856,1.0101377953775132,0.8146315036977633,0.7259587857354924,0.6274130349057653,0.9384491331013993,0.9651995176829594,0.9022296570051397,1.0463606494842341,1.0144601234325707,1.0012287139501457,0.34736368804343726,0.6289350707483182,0.3019068495064014,0.6635782284909945,0.8916961971968113,0.7475518848124715,0.604317755795817,0.5432137741413394,0.20702926879237085,10,0.5966140862637327,0.5966140862637327,0,3600,"(0.6865656588871123, 3)",2500,"(0.6586274930133105, 1)"
8,0.1,exponential,2,False,"(-10, 10)",200,50,100,0.022543820218754857,0.06676981985671855,0.03421809922267117,0.05950885213182129,0.31102854202775554,0.09994541302666063,0.06531562098274983,0.21991545177675687,0.09301802093742786,0.025437150340819767,0.10602082221519023,0.04598772302108882,0.07414403445635036,0.17260827687558555,0.07094482947076695,0.09257618714610048,0.19297057772968138,0.08739774332714025,0.01035404372222403,0.04799080288780104,0.021989049003598427,10,0.2391467318072504,0.2391467318072504,0,3600,"(0.40148474428321984, 1)",2500,"(0.15951325565481375, 3)"
9,0.1,cosine,2,False,"(-10, 10)",200,50,100,1.038413080455476,1.0319410633648374,1.0059309256253353,0.2260213741673538,0.46273375845886694,0.2757006288302519,0.2971558825850308,0.7044596280717107,0.44454053473535443,0.7899312128442961,1.0071200708754013,0.7313351018468801,0.090019669058309,0.5508712103708565,0.14332524125704746,0.733745951016541,0.8885266004888901,0.76112023651313,0.04576445207633054,0.29376842101333983,0.06355863523380029,10,0.609239388521252,0.609239388521252,0,3600,"(0.7064460321940982, 0)",2500,"(0.501070356910509, 0)"
10,0.1,quadratic,2,False,"(-10, 10)",200,50,100,0.019123494117614,0.01917582740181274,0.020875560959662722,0.08078149426074789,0.3501800069104183,0.18505622554274503,0.09394455710157344,0.4301988307526948,0.22019789472141565,0.04021110141655494,0.09933896550440661,0.059074164728940864,0.12941053621032533,0.3031991797227749,0.16183633553206386,0.3237861939124148,0.3902909859504158,0.25139111110684104,0.018114471471032265,0.023267986383779384,0.02163540667952664,10,0.2459785231423457,0.2459785231423457,0,3600,"(0.6230729101097547, 0)",2500,"(0.18406263139484988, 0)"
11,0.1,piecewise,2,False,"(-10, 10)",200,50,100,0.40619375520435563,0.5140409066534384,0.41276538403637336,0.15390843514174363,0.4442103220696384,0.29517189256930537,0.13354440374574086,0.29001478603150477,0.2456727936995268,0.22651038124241737,0.15109973745048097,0.21821669081191458,0.13684623716145203,0.2212539237925262,0.11284915626522334,0.3739152731804118,0.46973632125837195,0.514237827706732,0.1770307318285025,0.4988563183810716,0.2292190266418699,10,0.34547860782312473,0.34547860782312473,0,3600,"(0.597267865401073, 0)",2500,"(0.26379809254303116, 1)"
12,0.1,piecewise,2,False,"(-10, 10)",200,50,100,0.540968392070345,0.5257463946127637,0.41451588186125565,0.209352955772539,0.3951822771220624,0.2562813061115544,0.17950673734309278,0.2863284154446598,0.21554093730826815,0.13574565111006043,0.1355422056828695,0.1925176995193084,0.08535152615517369,0.19128810685291772,0.09462442756238713,0.4036292573076027,0.3673208942631857,0.36732933790197464,0.21277546207927575,0.45020237199941604,0.17672537196710586,10,0.3063764804710372,0.3063764804710372,0,3600,"(0.5509284829115856, 0)",2500,"(0.21464678091237924, 1)"
13,0.1,quadratic,2,False,"(-10, 10)",200,50,100,0.011414072086495674,0.010302236452462808,0.010126035014634584,0.046563177300866385,0.28138488133479744,0.05643877699300149,0.11799543922679732,0.2857601121443541,0.09844311106011389,0.06429934640469566,0.11450824811901808,0.052157736912971354,0.09423505033864188,0.22174264199214846,0.07936333317300222,0.2211316620648167,0.33950224643972193,0.21986914840591354,0.011890815865560666,0.009873041007099619,0.010853618947468264,10,0.13442016878491123,0.13442016878491123,0,3600,"(0.6460024785122209, 0)",2500,"(0.12748113840964756, 4)"
14,0.1,quadratic,2,False,"(-10, 10)",200,50,100,0.0189982184629128,0.013317810682557262,0.013139152328062821,0.12832707878725108,0.29606051209119866,0.14741338823359706,0.25807755058166765,0.385010646106503,0.17648038101249452,0.05636612050311283,0.1217621213879138,0.06448308194027726,0.19871726910447354,0.2869188139898298,0.13234333254817832,0.28401972568897677,0.37091679232375013,0.24197192690751326,0.019134416497664033,0.016811196763708597,0.013119785672619365,10,0.35856163276669395,0.35856163276669395,0,3600,"(0.6106118313836318, 0)",2500,"(0.18749193892231972, 0)"
15,0.1,linear,2,False,"(-10, 10)",200,50,100,0.03699724391056913,0.026490053465815278,0.02262839936483711,0.05310779785342301,0.17307287920921377,0.0907466378117899,0.07864477393947346,0.15197888847705004,0.09710265172721846,0.03251316852728233,0.022521447818945366,0.02436821884853848,0.08066806753718749,0.15714385570632608,0.10545231653311452,0.07308786307590061,0.16785054602045865,0.11176015371394642,0.018638157253383397,0.011768782656505236,0.012615396199549262,10,0.1274986024498396,0.1274986024498396,0,3600,"(0.20062977794361078, 1)",2500,"(0.15468582821764837, 1)"
16,0.1,linear,2,False,"(-10, 10)",200,50,100,0.004516843359901771,0.007088509426043892,0.00789331475464104,0.026381489518818538,0.1110911138988289,0.04533141869761062,0.04687537094457292,0.10889483991464055,0.07835024005267516,0.015220348007805357,0.01624863946982054,0.016373927019133584,0.049575857927629134,0.11129443102248696,0.06577793971898228,0.04580363492813195,0.12972978116397738,0.07005518765646862,0.0017857517306450125,0.006332011138128945,0.0063720923936715105,10,0.12469455801030283,0.12469455801030283,0,3600,"(0.17140827227025907, 0)",2500,"(0.12383445556000129, 0)"
17,0.1,linear,2,False,"(-10, 10)",200,50,100,0.010930139877569009,0.013407991516978496,0.010774277637637351,0.019623839335984737,0.08579883257172724,0.03133874568610391,0.045747336306027564,0.09638472282752072,0.05187493239300537,0.01380125254830925,0.014874930778583012,0.0153015793443799,0.05558156253239595,0.09490409379977552,0.05690074701637327,0.047601513630290575,0.1281519851548296,0.07167997503450772,0.005988645343196373,0.006948310388565142,0.005976880565744418,10,0.09660221774563807,0.09660221774563807,0,3600,"(0.15097423959606507, 13)",2500,"(0.110806158945856, 1)"
18,0.1,cosine,2,False,"(-10, 10)",200,50,100,1.1378365182490942,1.0926206312963374,1.0321983986526881,0.7048917486244186,0.7890391242481821,0.7147949473896762,0.5817094886122387,0.947333636069324,0.7851366099505971,0.987168474809982,1.1626058851170444,1.0078946153831345,0.26103266092326743,0.7101607188807139,0.4202628844809962,0.7473691267521158,0.9164719741575484,0.7688316674825755,0.14613030256896695,0.6374735632964771,0.35333681526431765,10,0.608268386758526,0.608268386758526,0,3600,"(0.7791271022265143, 0)",2500,"(0.5875059514596279, 0)"
19,0.1,l1norm,2,False,"(-10, 10)",200,50,100,0.12140302878922644,0.3356370371701353,0.25554151693809685,0.16175368993001207,0.2420246844498962,0.16239378786147363,0.20049752903303142,0.23352478418096465,0.15362263643959337,0.0735481204155435,0.05911121991664714,0.06156124765085179,0.15753281323153598,0.24050555532652224,0.14011519696713368,0.3282477232110811,0.3414080189985263,0.2644840372643216,0.07421880594201731,0.12283714829479886,0.059507413794333185,10,0.16562893439905935,0.16562893439905935,0,3600,"(0.3817821406769287, 0)",2500,"(0.18262886841168113, 0)"
20,0.1,exponential,2,False,"(-10, 10)",200,50,100,0.026785379215448393,0.07391015887072445,0.03479174742447906,0.13869653119671924,0.23475493085551624,0.11734539398380635,0.1707481930363561,0.23311547833868046,0.1140238170892497,0.0883873096632789,0.13517076530908317,0.06750341696824412,0.07670921645848185,0.18685887450955108,0.09031577261820842,0.12794047570543415,0.20023188779912085,0.09690083087381961,0.024928911585438158,0.05341210210122322,0.026741138743336525,10,0.2549754343100449,0.2549754343100449,0,3600,"(0.4149576510168229, 1)",2500,"(0.17952788215152168, 7)"
21,0.1,exponential,2,False,"(-10, 10)",200,50,100,0.03621435651121295,0.06591855205965166,0.034591853532851866,0.0441393506799424,0.16678821157157198,0.06761396357207958,0.05071121106914888,0.18906950175968756,0.0716025577206295,0.028036510052598548,0.11987683128700337,0.05727227257199582,0.029856017854647792,0.1522462250500152,0.056683159005490334,0.05377356787982543,0.17386741018766733,0.07290364768498554,0.015160321617439325,0.028729382816197233,0.016491505561289796,10,0.16239781802561246,0.16239781802561246,0,3600,"(0.3719896321762371, 5)",2500,"(0.1324041013019146, 5)"
22,0.1,l1norm,2,False,"(-10, 10)",200,50,100,0.3377497290536984,0.3305384328796566,0.25692875700840156,0.1142233146009291,0.4376383197854852,0.1707298538758493,0.09096922552102654,0.3085370782920171,0.18635043024503226,0.03817148117322741,0.048720198545246785,0.05153274916878627,0.14263495944746346,0.24774112292796058,0.15599544159574294,0.27803742924950503,0.35192206859569813,0.2638305954941461,0.07929292280903372,0.1196828958387092,0.07314370308018613,10,0.18613657848610154,0.18613657848610154,0,3600,"(0.37522033006763683, 3)",2500,"(0.1938604473747387, 3)"
23,0.1,piecewise,2,False,"(-10, 10)",200,50,100,0.7311277796034807,0.5342681655753607,0.4246694073310789,0.44926546515479915,0.5371093251250062,0.3709300127728778,0.30398550793941387,0.3666678008042817,0.3458113417270572,0.3279867773037193,0.1631215743642673,0.23269580109932053,0.16974143618779045,0.28265567261121677,0.18754452828968088,0.5415482929222348,0.4156577837046884,0.38911242595218315,0.2978866578830816,0.5972828470730649,0.3571844483059626,10,0.6860685562432908,0.6860685562432908,0,3600,"(0.6399128023561118, 0)",2500,"(0.3459252048181733, 0)"
